,x1,x2,x3,x4,x5,x6,x7,x8,y
76,-11.01,-4.11,-5.04,3.74,13.56,-6.53,36.53,497.74,5.25
77,-126.99,-89.92,-7.27,-0.2991666666666668,-0.41204419889502736,-10.06,-191.13,44002.925,5.41
78,-30.81,-30.41,-21.26,-5.05,-2.39,-7.19,-127.6,11569.15,-1.25
79,-66.52,18.38,-6.56,-9.82,-11.74,-9.16,13.43,1952.76,10.06
80,-92.71,112.24,4.5,2.93,6.49,17.45,-81.96,44002.925,27.19
81,132.26,-83.6,-25.96,-9.66,-17.7,2.86,66.15,13453.68,-1.92
82,71.05,17.38,-4.08,-20.99,3.11,-10.57,21.83,9289.1,-2.88
83,16.55,-62.33,12.4,-14.04,2.14,-11.02,37.49,10381.57,4.26
84,89.34,-101.04,-4.1,-0.2991666666666668,-25.07,2.98,13.53,2282.93,-3.79
85,-110.2,114.44,8.46,13.69,-0.41204419889502736,12.29,-220.11,441.84,15.54
86,-53.71,48.0,12.44,-8.64,27.64,0.51,118.29,10.05,9.53
87,-66.95,8.99,-0.12,-0.2991666666666668,9.19,-6.69,-3.76,24205.14,0.93
88,-125.75,118.94,0.87,11.36,-13.84,-0.83,32.39,640.09,15.33
89,-32.98,12.27,-9.56,5.8,-22.63,-25.53,178.04,746.38,5.5
90,-17.89,-94.14,-3.41,10.3,-0.0,-7.31,40.72,11223.28,-4.63
91,-128.71,-71.97,-10.03,-1.1,11.0,-13.83,16.658888888888892,1700.74,5.4
92,-1.71,10.77,13.5,0.71,-9.68,5.96,106.53,6385.61,8.26
93,166.08,-22.66,-13.34,-0.73,-4.65,12.83,-56.59,6428.83,-2.34
94,-53.73,255.91500000000002,-5.64,3.11,11.36,-19.22,-128.51,24429.69,4.27
95,23.02,-76.99,2.6,-2.16,3.56,11.14,-70.57,1395.02,0.06
96,-135.36,-33.73,-6.25,-15.52,0.75,2.3,110.95,44002.925,9.26
97,-12.25,75.15,-8.22,-12.01,-10.23,-10.75,12.77,44002.925,12.13
98,226.33,-4.3,-4.27,-16.01,-4.81,3.51,142.73,44002.925,-11.07
99,74.53,60.61,27.67875,5.49,-4.31,21.95,101.22,3139.36,1.2
100,127.6,-12.012277777777777,10.3,2.51,-0.26,-8.56,0.76,140.42,-14.86
101,-63.55,-8.07,12.71,13.07,2.38,-0.33616666666666756,2.18,22392.13,0.14
102,61.57,-6.81,8.29,-17.39,9.84,13.13,73.1,820.82,1.88
103,21.66,-78.06,-13.41,-6.15,8.66,9.08,53.35,8511.91,2.82
104,11.52,-77.91,-6.02,-2.52,-4.08,3.57,-46.77,3782.25,-3.6
105,45.24,-140.7,2.43,-7.41,15.73,-0.33616666666666756,147.78,44002.925,-14.82
106,8.85,55.64,-12.03,6.73,-10.31,-8.54,-22.61,4919.62,9.26
107,-25.26,-48.95,-15.35,4.3,-28.84,20.59,-29.18,3.57,2.53
108,-19.27,-256.17,1.15,4.08,0.13,-17.44,96.4,44002.925,-19.83
109,-168.87,-19.73,5.8,-0.2,3.17,2.78,50.05,1035.55,9.99
110,14.175055555555561,0.55,-4.5,19.65,6.31,7.95,-76.41,18125.24,11.8
111,-253.985,-12.012277777777777,-4.59,-0.2991666666666668,27.64,12.86,-33.42,340.03,23.57
112,-191.68,-94.58,-11.2,5.63,-14.77,20.63,124.72,13947.61,13.92
113,-49.0,-125.65,-3.56,9.79,-4.24,-2.2,100.77,44002.925,4.72
114,-91.97,84.87,9.2,20.18,6.83,-7.07,27.84,25580.8,19.84
115,112.18,25.99,2.1,8.33,6.28,10.5,57.1,6328.2,-3.64
116,64.54,10.51,-24.2,-25.38375,-0.59,-18.6,-141.49,33247.88,-7.12
117,-253.985,166.31,-2.07,19.57,-18.36,-4.0,31.06,12579.87,30.6
118,-53.28,219.23,21.43,4.09,-6.33,15.75,63.92,12049.45,13.43
119,-28.51,47.75,-5.43,-6.45,-6.7,15.57,-72.69,6807.9,3.98
120,53.32,-36.19,-3.01,-0.93,-3.37,-3.19,-12.3,8279.18,-4.67
121,-101.69,123.51,-5.6,16.7,5.32,-16.46,-45.67,816.24,13.99
122,39.29,50.47,11.05,9.0,-12.34,-24.35,69.38,77.79,4.36
123,-160.42,63.8,-8.62,3.87,10.38,22.71,74.52,15141.3,20.7
124,14.175055555555561,-100.78,-31.07125,4.52,11.31,3.7,51.39,3161.81,-2.83
125,-62.8,-110.76,-12.08,-0.2991666666666668,-17.61,6.81,-99.14,5318.78,4.01
126,-1.6,81.39,-10.68,-13.13,11.41,6.87,143.59,141.13,8.11
127,-14.77,-196.29,10.16,5.95,-5.95,-15.16,69.38,35453.12,-13.59
128,106.06,246.4,1.8,-2.81,0.05,-8.79,-60.57,37144.85,2.95
129,-71.17,127.05,-9.01,-1.44,-1.08,-8.58,280.025,2369.74,15.61
130,-82.0,-78.58,-2.07,10.37,9.84,-2.28,20.28,1363.09,5.47
131,246.515,124.33,-6.83,-1.4,-14.32,11.69,266.14,1720.59,2.9332978723404257
132,-131.83,70.25,-7.47,-4.55,-13.66,13.83,160.91,9407.06,10.4
133,151.01,0.71,8.3,-11.35,15.8,7.08,-161.95,556.96,-3.13
134,52.86,-15.25,-11.65,-25.38375,12.66,-2.12,47.61,7682.52,4.34
135,-114.62,-100.85,-17.51,-1.12,4.84,-2.5,-98.49,9564.84,8.18
136,75.85,124.98,14.87,-1.76,-0.85,-1.18,16.658888888888892,8286.46,2.67
137,226.76,-12.012277777777777,-4.35,-10.35,-14.83,5.78,7.73,8127.02,-6.7
138,9.4,-12.012277777777777,3.2,25.926250000000003,12.53,9.41,103.45,80.64,3.75
139,-198.17,77.02,-31.07125,1.79,-12.63,2.28,20.07,6239.42,14.39
140,90.0,25.12,1.14,6.55,16.72,-21.4,115.14,4666.26,-1.92
141,23.0,-147.48,-3.53,13.03,3.39,4.17,115.91,707.03,-3.51
142,14.175055555555561,176.85,-2.36,-10.2,5.58,-7.98,-91.81,2409.83,18.68
143,246.515,-297.225,-2.51,-19.98,9.48,-12.42,-87.3,6283.73,-0.95
144,50.53,16.09,15.25,-4.07,-0.82,7.35,-163.52,14270.69,6.81
145,-20.13,-144.23,-12.48,-15.82,3.88,11.04,-87.49,9204.48,1.16
146,22.92,67.02,-13.82,3.86,-14.12,8.42,-23.57,31314.84,-1.5
147,98.71,-64.54,-2.33,2.2,5.43,13.45,-37.36,566.92,-5.59
148,33.32,-139.48,-14.46,2.87,8.24,2.39,14.89,13637.57,-0.03
149,-43.16,131.44,9.61,0.27,12.14,-5.47,110.81,12201.41,8.45
150,137.43,-176.15,-2.560662983425415,-3.31,-4.52,1.22,40.12,5386.09,-8.93
151,14.175055555555561,-162.02,9.89,-7.92,-2.89,14.23,-97.5,1957.18,-6.84
152,124.55,-35.52,4.43,11.11,-11.24,1.72,-86.96,856.73,-3.23
153,-40.16,-101.62,4.43,10.09,-4.94,5.59,103.33,44002.925,10.5
154,-97.15,41.17,11.31,13.9,6.02,9.12,38.12,13137.74,6.01
155,108.53,179.15,9.51,9.96,-0.92,-15.24,-53.12,9.3,7.51
156,12.13,77.22,-3.82,-6.29,15.71,-12.09,118.36,171.35,8.21
157,-96.98,28.71,8.31,-0.2991666666666668,3.44,-1.62,-2.29,44002.925,19.55
158,185.94,-71.04,-6.14,8.5,3.42,-11.29,35.15,4518.53,-6.13
159,-152.08,-182.9,-3.06,16.8,-8.35,12.4,82.91,4876.23,-0.9
160,-42.79,13.2,8.6,10.39,4.16,-10.59,110.87,44002.925,-2.87
161,53.64,212.55,-9.6,-11.76,-9.38,5.39,81.77,2850.49,10.24
162,217.82,-192.43,12.65,6.35,-9.3,10.94,-14.57,410.87,-16.24
163,67.53,-51.81,5.34,-10.13,-4.04,6.28,173.23,17614.6,-7.42
164,-0.37,89.7,-22.27,-9.57,19.88,8.94,-91.33,20300.55,14.41
165,135.01,9.19,-13.21,1.04,-18.96,-3.75,-71.79,2179.96,-0.61
166,-82.5,-20.41,-12.41,2.14,-12.67,-0.33616666666666756,159.24,44002.925,5.96
167,-43.48,-12.012277777777777,1.36,10.88,-9.5,16.44,-3.22,39644.79,2.14
168,141.76,-110.01,-12.47,-8.13,-10.55,2.87,148.83,15522.67,-13.88
169,-64.52,118.45,-18.02,0.23,9.18,-17.66,-81.29,15870.96,7.57
170,137.38,-12.012277777777777,-10.33,-1.73,2.38,1.99,-20.54,3005.23,-0.94
171,-106.53,30.86,-9.21,-11.84,-0.09,-3.57,16.658888888888892,44002.925,13.22
172,82.47,92.89,4.14,-1.68,-4.44,-6.29,16.94,32277.72,-3.1
173,-63.61,-297.225,-2.560662983425415,-10.62,2.0,-8.28,280.025,14735.53,1.74
174,-38.81,4.15,-15.74,8.5,0.49,-5.47,-2.8,4710.08,3.02
175,-208.19,-18.79,27.67875,-17.87,-0.29,-7.69,135.84,1790.98,11.82
176,33.53,-25.52,-2.12,-8.77,-6.59,-0.33616666666666756,-83.6,31339.62,8.21
177,42.23,-65.48,0.3,-16.78,-13.83,0.91,-96.55,39517.46,-10.55
178,-86.89,39.54,7.33,-4.47,11.63,-4.71,50.21,44002.925,18.91
179,35.2,-103.27,-21.06,1.25,19.16,1.63,64.27,18675.96,2.78
180,32.74,-93.59,-21.97,-10.5,-1.22,-8.86,122.67,492.4,-1.35
181,73.06,26.77,12.18,3.62,4.49,9.98,-280.635,44002.925,0.67
182,-194.49,12.72,3.11,-1.24,-4.34,-5.29,4.57,491.07,15.16
183,66.13,-89.43,-6.6,-24.02,6.37,7.25,152.91,23244.05,-10.23
184,-92.82,-255.01,-5.04,-14.9,-1.36,6.96,-8.49,4557.6,-7.81
185,14.175055555555561,8.79,-10.48,-0.2991666666666668,12.52,-10.13,16.658888888888892,1174.43,3.69
186,-30.81,48.65,-2.560662983425415,2.58,8.72,6.97,-69.11,1583.24,5.99
187,14.175055555555561,50.33,3.13,13.03,-0.41204419889502736,4.53,-173.7,254.72,-6.73
188,101.46,-67.42,0.44,-3.74,8.93,-4.29,21.79,40925.29,-13.39
189,-87.33,-16.89,7.39,21.44,9.44,18.92,16.658888888888892,3730.77,4.4
